;token;freq
0;общества;52
1;директор;41
2;компании;39
3;генеральный;30
4;директора;26
5;генерального;24
6;предприятия;20
7;деятельности;16
8;организации;15
9;работы;12
10;обеспечение;12
11;руководитель;12
12;деятельностью;11
13;хозяйственной;10
14;ответственность;10
15;директором;10
16;должен;9
17;сотрудников;9
18;организация;9
19;мер;9
20;обязанности;9
21;имущества;9
22;выполнения;8
23;контроль;8
24;именно;8
25;директоров;8
26;результаты;8
27;функции;7
28;акционеров;7
29;часто;7
30;ceo;7
31;сохранность;7
32;бизнеса;7
33;несет;7
34;стать;7
35;коммерческой;6
36;развития;6
37;управлять;6
38;производственно;6
39;должность;6
40;решения;6
41;нужно;6
42;исполнительный;6
43;обязанностей;6
44;генеральным;6
45;осуществление;5
46;финансовой;5
47;должностных;5
48;отделов;5
49;понимать;5
50;эффективного;5
51;контролирует;5
52;должностные;5
53;глава;5
54;решений;5
55;бизнес;5
56;отчетности;5
57;поэтому;4
58;взаимодействия;4
59;систему;4
60;собрания;4
61;гендиректор;4
62;любой;4
63;основные;4
64;нормативных;4
65;подразделений;4
66;руководителя;4
67;полную;4
68;комплекса;4
69;должности;4
70;развитием;4
71;эффективность;4
72;финансовый;4
73;контролю;4
74;персонала;4
75;деятельность;4
76;заключаются;4
77;общем;4
78;руководстве;4
79;обеспечению;4
80;принятые;4
81;принятие;4
82;случае;4
83;следующие;4
84;отвечает;4
85;процессы;4
86;кроме;4
87;опыта;3
88;либо;3
89;разбираться;3
90;работа;3
91;высшего;3
92;которые;3
93;принимаемых;3
94;наличие;3
95;финансово;3
96;хозяйственные;3
97;ограниченной;3
98;зависит;3
99;бюджета;3
100;акционерного;3
101;общего;3
102;ответственностью;3
103;единоличного;3
104;исполнительного;3
105;органа;3
106;какие;3
107;сохранности;3
108;интересов;3
109;суде;3
110;рынке;3
111;требований;3
112;законодательства;3
113;навыками;3
114;документов;3
115;первого;3
116;лица;3
117;общему;3
118;совету;3
119;сотрудниками;3
120;различных;3
121;создать;3
122;работу;3
123;инструкций;3
124;имуществом;3
125;название;3
126;наиболее;3
127;обществах;3
128;совета;3
129;руководство;3
130;обязательств;3
131;документооборота;3
132;возлагаются;3
133;целью;3
134;знать;3
135;каких;2
136;существует;2
137;заместитель;2
138;исполняющий;2
139;планов;2
140;обстоятельств;2
141;лежит;2
142;непредвиденных;2
143;организующий;2
144;числе;2
145;субподрядчиками;2
146;логистики;2
147;привлекать;2
148;управляет;2
149;административный;2
150;уметь;2
151;существуют;2
152;запускать;2
153;каждой;2
154;реализации;2
155;продаж;2
156;служб;2
157;коммерческий;2
158;службы;2
159;высокооплачиваемых;2
160;профессии;2
161;назвать;2
162;котором;2
163;должностей;2
164;маркетинговых;2
165;координация;2
166;финансовым;2
167;одна;2
168;поставщиками;2
169;интенсивное;2
170;такие;2
171;обязательно;2
172;акционерное;2
173;предприятии;2
174;структурных;2
175;осуществления;2
176;кредиторами;2
177;ведения;2
178;бухгалтерского;2
179;учета;2
180;составления;2
181;форм;2
182;утверждение;2
183;штатного;2
184;расписания;2
185;квалифицированными;2
186;кадрами;2
187;всем;2
188;необходимым;2
189;защиты;2
190;рф;2
191;внутренних;2
192;предоставление;2
193;сведений;2
194;собранию;2
195;ревизорам;2
196;документы;2
197;своей;2
198;компетенции;2
199;принимать;2
200;согласно;2
201;договоры;2
202;выполнение;2
203;соблюдения;2
204;любом;2
205;информации;2
206;подчиненным;2
207;полномочия;2
208;свои;2
209;делегирует;2
210;нагрузкой;2
211;справиться;2
212;нуля;2
213;множество;2
214;совмещает;2
215;ответственна;2
216;очень;2
217;профессия;2
218;предприятие;2
219;эффективное;2
220;использование;2
221;последствия;2
222;требования;2
223;генеральному;2
224;директору;2
225;производственное;2
226;образования;2
227;общество;2
228;процессов;2
229;будь;2
230;знание;2
231;актов;2
232;главный;2
233;доходов;2
234;значит;2
235;повысить;2
236;процесс;2
237;координирует;2
238;унитарного;2
239;т;2
240;топ;2
241;п;2
242;операционным;2
243;прибыли;2
244;рентабельности;2
245;ресурсы;2
246;руководит;2
247;акционерных;2
248;разные;2
249;опыт;2
250;навыки;2
251;такое;2
252;обладать;2
253;фз;2
254;например;2
255;ресурсов;2
256;организует;2
257;также;2
258;крупной;2
259;операционную;2
260;инструкции;2
261;создание;2
262;составление;2
263;execut;2
264;стратегии;2
265;высшее;2
266;chief;2
267;развивать;2
268;использовать;2
269;одновременно;2
270;является;2
271;компанию;2
272;управления;2
273;который;2
274;человек;2
275;целей;2
276;просто;2
277;аналогичная;1
278;экономике;1
