"https://www.mk.ru/economics/2022/10/07/rukovoditelya-rossiyskikh-kosmicheskikh-sistem-snova-perevodyat-na-drugoe-mesto-raboty.html";"Руководителя «Российских космических систем» снова «переводят» на другое место работы";" РКС специализируется на разработке, изготовлении и эксплуатации космических информационных систем. Андрей Тюлин возглавляет его с 2014 года, придя сюда из концерна «Радиоэлектронные технологии». В 2019 году, когда подошел к концу его контракт,  поползли было слухи о его отставке, связанные с соответствующим желанием акционеров. Однако Андрей Евгеньевич все же усидел в кресле гендиректора: контракт с Роскосмосом был переподписан. И вот в воздухе вновь витает информация о том, что Тюлин опять «сидит на чемоданах», собираясь сменить место дислокации. На главный пост в РКС, по одной из версий, планируют прислать ростеховца Сергея Боева, который в течение последних четырех лет возглавляет межгосударственную акционерную корпорацию «Вымпел».В его послужном списке говорится, что он «внес значительный вклад в разработку, создание, внедрение и применение радиолокационных станций», является лауреатом Госпремии РФ.В Роскосмосе от официального комментария возможной перестановки воздержались.";"10/07/2022 10:21:55"
"https://www.mk.ru/economics/2022/10/07/minstroy-zaplaniroval-polnyy-zapret-ustanavlivat-individualnye-gazovye-pribory-otopleniya.html";"Минстрой запланировал полный запрет устанавливать индивидуальные газовые приборы отопления";"В Минстрое разработан проект поправок в закон «О теплоснабжении». Они призваны кардинально изменить ситуацию с газовыми котлами и бойлерами, которые люди нередко устанавливают, чаще всего в старых многоэтажках.Как поведали разработчики законопроекта, нынешняя версия закона о теплоснабжении позволяет переход с централизованного отопления на индивидуальное. Для этого хозяину квартиры надо подготовиться: сделать план перепланировки, обзавестись согласием всех соседей, а также убедиться, что схема теплоснабжения дома такой маневр позволяет.Однако такую, на первый взгляд продуманную схему Минстрой признал неправильной из-за чудовищной статистики  происшествий с бытовым газом. По данным, которые приводит ведомство со ссылкой на Росстат, в 2020 году произошло 11,7 тысячи инцидентов при использовании газа в жилых домах. В частности, 8,2 тысячи происшествий случились из-за аварийного состояния внутридомового  или  внутриквартирного газового оборудования: трубы проржавели или соединения были недостаточно плотными. 1,6 тысячи инцидентов  произошли из-за отсутствия тяги в дымовом и вентиляционном канале. 1,2 тысячи происшествий – из-за самовольной газификации или ремонтных работ. Причиной 572 происшествия стал взрыв газовоздушной смеси. Еще 52 трагедии – из-за разрыва газового баллона или утечки. Наконец, 32 «газовых» происшествия – результат самоубийства самих хозяев квартиры.Минстрой подчеркивает, что в последние годы случаи взрыва бытового газа в России участились. Разработчики поправок уверены, что во многих случаях происшествия – это прямое следствие перехода на отопление одного или нескольких жилых помещений на индивидуальные квартирные источники тепловой энергии, работающих на природном газе.«Использование газа в быту, в особенности переход хотя бы одного помещения в многоквартирном доме на индивидуальные источники тепловой энергии, работающих на природном газе, остается опасным и требует ужесточения норм законодательства», – прокомментировали в Минстрое.Кроме того, по мнению чиновников, переход одного или нескольких помещений в многоэтажке с центральным теплоснабжением на индивидуальное отопление влечет за собой нарушение прав остальных собственников в многоквартирном доме. Например, в результате такой манипуляции хотя бы в одной квартире происходит снижение температуры в примыкающих помещениях, нарушается гидравлический режим  во внутридомовой системе теплоснабжения.Чтобы исправить ситуацию, Минстрой предлагает установить прямой запрет на переход на отопление одного или нескольких помещений в многоквартирных домах с использованием индивидуальных источников тепловой энергии, работающих на газе. При этом предполагается сохранение возможности перехода на индивидуальные источники тепловой энергии, работающих на иных видах топлива.";"10/07/2022 11:41:54"
"https://www.vedomosti.ru/economics/news/2022/09/22/942082-velikobritanii-snyali-zapret-na-dobichu-slantsevogo-gaza";"В Великобритании сняли запрет на добычу сланцевого газа";"На фоне энергетического кризиса власти Великобритании отменили мораторий на добычу сланцевого газа. Об этом сообщает пресс-служба министерства по делам бизнеса, энергетики и промышленной стратегии Соединенного Королевства.В распространенном сообщении отмечается, что запрет снимается с 22 сентября. Кроме того, в начале октября правительство намерено провести новый раунд распределения лицензий на разработку месторождений нефти и газа в Северном море. Как ранее заявляла премьер-министр Британии Лиз Трасс, будет выдано 100 разрешений. Министерство рассчитывает, что принятые меры помогут стране снизить зависимости от импорта иностранных энергоносителей, а также повысят «энергетическую безопасность» Великобритании. По словам главы ведомства Джейкоба Рис-Могга, к 2040 г. экспорт энергоносителей из королевства должен превышать импорт.О планах начать добычу газа с помощью фрекинга (методом гидроразрыва пласта) в начале сентября сообщала Трасс. Она отметила, что такое решение позволит стране получить газ уже через 6 месяцев. После этого в ООН выразили обеспокоенность по поводу данной инициативы. В организации указали на риск загрязнения окружающей среды. Британское правительство ввело запрет на добычу газа методом фрекинга в ноябре 2019 г. Решение было принято из-за риска появления сейсмической активности. Также этот метод активно критикуют экологи.   После начала спецоперации на Украине западные страны ввели масштабные санкции против России, которые в том числе затронули энергетику. На фоне ограничений и сокращения поставок газа в Европу цены на газ резко выросли. Рекорд на лондонской бирже ICE был установлен 7 марта этого года — $3892 за тысячу куб. м. В августе, после сообщения «Газпрома» о приостановке работы «Северного потока» на три дня, цены на газ превысили $3500 за тысячу куб. м, но позже цены пошли на спад. 19 сентября стоимость составила меньше $1800 за тысячу куб. м.Ранее власти Великобритании объявили о планах постепенно прекратить импорт российской нефти к концу 2022 г., а затем как можно скорее отказаться и от закупки у России сжиженного природного газа.Подписывайтесь на «Ведомости» в Telegram и будьте в курсе главных новостей экономики и бизнеса.";"09/22/2022 13:14:04"
"https://www.vedomosti.ru/economics/articles/2022/09/12/940351-tssr-predlagaet-regulirovanie-nft";"ЦСР предлагает ввести отдельное регулирование для NFT";"Центр стратегических разработок (ЦСР) предлагает ввести особое регулирование невзаимозаменяемых токенов (NFT), а также специальное регулирование лиц, обеспечивающих синхронность и непротиворечивость перехода токенизированных вещных прав и записей в блокчейне, в котором соответствующие права учитываются. Об этом говорится в докладе центра «Виртуальные активы: NFT и виртуальные предметы в компьютерных играх и метавселенных» (есть у «Ведомостей»). Но конкретные предложения по регулированию ЦСР в документе не приводит.В Банк России такой доклад не поступал, сказал «Ведомостям» представитель регулятора. Но вопросы регулирования отдельных видов NFT могут быть решены в рамках закона об инвестиционных платформах, добавил он: эти вопросы ЦБ планирует в ближайшее время проработать с участниками финансового рынка.Важно учитывать позиции бизнеса и экспертного сообщества при разработке законодательных инициатив, согласен директор департамента развития цифровой экономики Минэкономразвития Анатолий Дюбанов. Поэтому в июле 2022 г. министерство поддержало предложение ЦСР и фонда «Сколково» по разработке необходимых для развития отрасли нормативных актов, говорит он: в данный момент идет обсуждение инициативы с Минфином и ЦБ. Представитель Минфина не ответил на запрос «Ведомостей».NFT – это криптоактивы, которые могут быть любым уникальным объектом гражданских прав – от отдельных прав требований до вещей и правовой позиции (в смысле принадлежности правового титула) в отношении цифровых арт-объектов, говорится в докладе.Контуры понятия NFT и его правовой режим до сих пор не очевидны, отмечает ЦСР. Поэтому в первую очередь необходимо внести изменения в статью о цифровых правах Гражданского кодекса (ГК) и указать там, что понятие цифровых прав может охватывать токены, которые не предусмотрены в законе. По мнению авторов доклада, это позволит без изменения общей статьи об объектах гражданских прав подчеркнуть допустимость выпуска и обращения NFT.В пользу необходимости регулирования NFT говорит то, что сейчас распространены его некорректные квалификации, в том числе со стороны государственных органов, отмечает руководитель направления «Правовое развитие» ЦСР Максим Башкатов: в недавнем законопроекте NFT предлагалось отнести к результатам интеллектуальной деятельности, а также встречается позиция, что NFT является произведением. Игнорирование разных видов NFT может привести к некорректной практике, заключает эксперт.В середине июля Минэкономразвития прорабатывал регулирование рынка NFT и предлагал внести изменения в ГК и закон «О цифровых финансовых активах» (закон о ЦФА), писал «Коммерсантъ». Министерство предлагало установить правовой статус NFT, прояснить возможность выпуска токена, его регулирование и обращение, защиту приобретателей токенов от повторного выпуска и иные вопросы. В конце весны депутаты партии «Новые люди» также предлагали распространить на невзаимозаменяемые токены законодательство по охране интеллектуальной собственности.ЦСР отмечает, что правовая квалификация невзаимозаменямых токенов может зависеть от их разновидности. Сейчас законодательно NFT можно приравнять к криптовалютам, к цифровым активам, к иному имуществу, к относительным имущественным правам, к цифровым правам, к интеллектуальной собственности, к объектам для инвестиций и проч. Все эти определения в полной мере не описывают NFT, а накладывают на него ограничения, говорится в докладе. Например, распространение на NFT норм о цифровой валюте повлечет за собой необоснованное ограничение их оборота, никак не обусловленное порождаемыми ими рисками.В то же время законы о ЦФА и инвестиционных платформах могут применяться к NFT в случае размещения долей в правовом титуле на токенизированный невзаимозаменяемый объект среди множества лиц, отмечается в докладе. Также эти законы могут применяться, когда формально уникальные токены с точки зрения оборота представляют собой взаимозаменяемые токены. Если речь идет о коллективном инвестировании в NFT, то может применяться законодательство о паевых инвестиционных фондах, отмечается в документе.Даже если NFT можно дать адекватную квалификацию по действующему законодательству, многие с такой квалификацией не согласятся, пока это не будет прописано в законе, отмечает Башкатов: нужна правовая определенность. Поэтому ЦСР предлагает ввести особое регулирование токенизированных вещных прав. Опционально, по словам авторов доклада, можно ввести фигуру агента, который функционально был бы подобен эксроу-агенту. Он бы следил за сохранностью токенизированных вещей и обеспечивал бы тем самым синхронизацию внесения изменений в блокчейне с переходом вещных прав.Другая часть доклада посвящена виртуальным предметам в компьютерных играх и метавселенных модели play-to-earn. По словам авторов доклада, существующие правовые нормы в достаточной мере регулируют правовой режим виртуальных предметов и также вполне актуальны для виртуальных предметов в метавселенных.Проблема гражданско-правового режима NFT появляется, по мнению авторов доклада, если виртуальные предметы можно приобретать у разработчика игры за реальные деньги или криптовалюты, если можно возмездно передавать виртуальные предметы другим пользователям на специальных торговых площадках, которые могут поддерживаться, а могут и не поддерживаться разработчиком игры.Поэтому лучший вариант, по мнению ЦСР, в новом регулировании прямо указать на недопустимость недобросовестного изменения игры разработчиком, а также ввести специальное регулирование лутбоксов (виртуальный предмет в компьютерных играх, при использовании которого игрок получает случайные виртуальные предметы различной ценности и назначения, называемые добычей), распространив на них в ряде случаев законодательство об азартных играх. Еще авторы доклада предлагают закрепить возможность судебной защиты прав из компьютерных игр, ссылаясь на нормы об играх и пари.Вопрос налогообложения в уже устоявшейся российской практике тоже неоднозначный, отмечает ЦСР. При классификации NFT в соответствии с ГК как иного имущества, для целей Налогового кодекса токены будут признаваться имуществом и, соответственно, товарами, поэтому они не будут облагаться налогом при покупке и майнинге. Но в то же время в части НДС без наличия специальных положений в Налоговом кодексе реализация NFT, вероятно, будет подлежать налогообложению НДС, если местом реализации будет являться Россия, полагает ЦСР.В части налогообложения купли-продажи виртуальных предметов в компьютерных играх, в соответствии со сложившейся в России практикой, признаются доходами по лицензионному договору, отмечается в докладе. Несмотря на то что практика сфокусирована вокруг вопросов косвенного налогообложения, ЦСР полагает, что и для целей прямых налогов данная квалификация также релевантна.Вместе с тем в докладе говорится, что налоговая трактовка сделок с внутриигровыми предметами сложно поддается универсализации, так как напрямую зависит от структуры и содержания договоров между правообладателем и игроком, которые в каждом конкретном случае могут отличаться.Доклад ЦСР – это первый шаг в сторону создания правовой основы для обращения невзаимозаменяемых токенов в России, считает Дюбанов. По его словам, регулирование обращения NFT позволит создать правовую базу для закрепления юридически значимых прав владения цифровым продуктом.Исследование ЦСР может стать хорошей отправной точкой для начала путешествия в мир NFT и метавселенных, но с практической точки зрения сложно сказать, что именно можно было бы почерпнуть из отчета, говорит партнер D&A Partners Екатерина Смирнова. С одной стороны, доклад очень подробный, но в то же время отчет не исследует конкретные законные механизмы введения и использования NFT в обороте, поясняет она: данных много, они интересные, но не хватает конкретных пользовательских решений.На данный момент не существует единой позиции о том, что такое NFT, говорит юрист Legal Matters Юрий Тимшин. Поэтому законодателю следует начать с определения правовой природы NFT, после чего будет возможно определить и правовой режим, советует эксперт. Предложение ЦСР внести изменения в статью о цифровых правах ГК юрист поддерживает, но уточняет: чтобы конкретные токены входили в цифровые права, соответствующие токены надлежит закреплять в нормативных актах.Тимшин поддерживает и идею ввести отдельное регулирование для NFC, а также ввести специальное регулирование лиц, обеспечивающих синхронность и непротиворечивость перехода токенизированных вещных прав и записей в блокчейне. По его словам, в обозримом будущем это позволит собственникам NFT защитить свои права.Технология NFT постепенно входит в гражданский оборот между субъектами, что в скором времени потребует соответствующего законодательного регулирования, подытожил Тимшин.";"09/11/2022 20:36:29"
"https://www.vedomosti.ru/economics/news/2022/09/12/940438-putin-o-neizbezhnosti-protsessa-dedollarizatsii";"Путин заявил о неизбежности процесса дедолларизации";"Процесс дедолларизации является неизбежным, заявил президент России Владимир Путин на совещании по экономическим вопросам.«У нас есть споры, чему больше уделить внимания, куда больше направить средств или больше сэкономить и создать «подушку безопасности», как ее создавать в новых условиях и что такое «подушка безопасности» в современных условиях, когда у нас идет известный и неизбежный процесс дедолларизации», — цитирует главу государства пресс-служба Кремля.Путин обратил внимание на то, что в нынешних условиях безусловными приоритетами правительства должна быть быть нацеленность на развитие и реализацию национальных проектов в интересах граждан.«Нам необходимо сформировать все условия для структурной перестройки экономики, ну или, так скажем, для дальнейшей структурной перестройки, в том числе реализации крупных технологичных проектов, роста экономической активности и развития инфраструктуры в российских регионах, создания новых рабочих мест», — отметил он.Ранее глава ВТБ Андрей Костин заявил, что сейчас идет явная дедоларизация и все больше операций проходит в рублях. Банки, которые работают с долларами и евро, чувствуют себя некомфортно, именно поэтому вводятся комиссии за их хранение, подчеркнул он.На пленарной сессии Восточного экономического форума (ВЭФ) глава государства также подчеркивал, что в целом западные страны подорвали опоры мировой экономической системы, которая выстраивалась на протяжении столетий: «утрачено доверие к доллару, евро и фунту стерлингов» как к валютам, в которых можно проводить расчеты, хранить резервы и номинировать активы. Тут он отметил, что 6 сентября «Газпром» и его китайские партнеры приняли решение о переходе на рубль и юань при оплате поставок газа.Подписывайтесь на «Ведомости» в Telegram и будьте в курсе главных новостей экономики и бизнеса.";"09/12/2022 12:12:21"
"https://www.vedomosti.ru/economics/news/2022/09/13/940678-tovarooborot-rossii-i-indii";"Товарооборот России и Индии увеличился на 120% за полгода";"Товарооборот России и Индии за первые шесть месяцев текущего года составил $11,5 млрд, следует из материалов Кремля ко встрече президента РФ Владимира Путина с премьером Индии Нарендрой Моди на полях саммита Шанхайской организации сотрудничества (ШОС) в Самарканде.«В первом полугодии 2022 г. товарооборот вышел на внушительную отметку в $11,5 млрд, прибавив почти 120% по сравнению с тем же периодом прошлого года», — следует из материалов.Отмечается, что расширяется и экспорт российских углеводородов в Индию. «Планируется обсудить вопросы насыщения индийского рынка российскими удобрениями и взаимных поставок продовольствия», — добавили в Кремле. Путин на полях саммита ШОС также проведет переговоры с председателем КНР Си Цзиньпином, президентом Турции Реджепом Тайипом Эрдоганом, президентом Азербайджана Ильхамом Алиевым и главами других государств. Заседание совета глав государств ШОС впервые за три года в очном формате пройдет в Самарканде 15-16 сентября.В саммите в Самарканде примут участие лидеры 15 государств. Из них восемь лидеров представляют страны ШОС: Россия, Индия, Казахстан, Китай, Киргизия, Пакистан, Таджикистан и Узбекистан. Кроме того, будут участвовать лидеры государств - наблюдателей ШОС – Белоруссии, Ирана и Монголии. Также будут гости саммита – лидеры Азербайджана, Армении, Туркменистана, Турции.Подписывайтесь на «Ведомости» в Telegram и будьте в курсе главных новостей экономики и бизнеса.";"09/13/2022 16:30:57"
"https://www.vedomosti.ru/economics/news/2022/09/12/940382-pravitelstvo-videlit-bolee-100-mlrd-rublei";"Правительство выделит более 100 млрд рублей на повышение устойчивости экономики";"Правительство России решило направить свыше 100 млрд руб. на повышение устойчивости российской экономики на фоне санкционных ограничений, будет выделено 15 млрд руб. на расширение производства самолетов МС-21 и еще 25 млрд руб. – на поддержку системы организации воздушного движения. Об этом сообщил премьер-министр Михаил Мишустин на оперативном совещании.«Направим на эти цели (повышение устойчивости экономики) более 100 млрд руб. Часть финансирования получит авиационная отрасль. 15 млрд руб. будет выделено  расширение производства самолетов МС-21. Еще 25 млрд руб. мы предусмотрим на поддержку системы организации воздушного движения», – сказал он.Кроме того, еще 15 млрд руб. направят на программу льготного лизинга морских судов. В целом к 2030 г. на российских верфях будут построены и переданы транспортным компаниям более 300 судов различного назначения. Выборгский судостроительный завод при этом получит адресную субсидию в размере 3 млрд руб. На нем сейчас строится новый ледокол для Северо-западного бассейна, пояснил Мишустин.В рамках поддержи бизнеса Фонд развития промышленности будет докапитализирован более чем на 8 млрд руб. Отдельно будут выделены 4 млрд руб. на программы мало- и среднетоннажной химии, использующейся практически во всех отраслях, добавил премьер. Помимо этого, 2 млрд руб. направят на разработку оборудования для производства СПГ.Адресную поддержку правительство окажет и Калининградской области, столкнувшейся с ограничениями на транзит грузов из других субъектов страны: регион получит 5,5 млрд руб. на поддержку инвестиционных проектов и создание новых рабочих мест.Ранее Мишустин заявил, что считает достойными результаты исполнения федерального бюджета РФ по итогам первого полугодия 2022 г., несмотря на внешнее давление на экономику страны. Объем внешнего госдолга России сократился на треть, а доходы бюджета выросли на четверть по сравнению с аналогичным периодом прошлого года и составили более 14 трлн руб., рассказал премьер-министр.Подписывайтесь на «Ведомости» в Telegram и будьте в курсе главных новостей экономики и бизнеса";"09/12/2022 08:12:56"
"https://www.vedomosti.ru/economics/news/2022/09/17/941320-aktivisti-greenpeace-v-finlyandii-pitayutsya-ne-dopustit-shvartovki-sudna-s-rossiiskim-spg";"Активисты Greenpeace в Финляндии пытаются помешать швартовке судна с российским СПГ";"Активисты финского подразделения Greenpeace пытаются не допустить швартовки судна Coral Energice, которое прибыло в порт Торнио с российским СПГ. Представители организации с альпинистским снаряжением забрались на погрузочные рукава терминала, а гребцы на байдарках мешают Coral Energice пришвартоваться к пирсу. Они требуют прекратить импорт газа из России, сообщает пресс-служба организации.«Финляндия должна немедленно запретить импорт российского ископаемого топлива и дать указание государственной компании Gasum прекратить импорт газа из России», — заявил эксперт по климату и энергетике Greenpeace Norden Олли Тиайнен. По его словам, нельзя допустить, чтобы финская сторона продолжала финансировать военные действия на Украине.Финская госкомпания Gasum по-прежнему регулярно поставляет в страну СПГ с терминалов в Высоцке или Уураа в России, отмечают в пресс-службе Greenpeace.9 августа газета Helsingin Sanomat со ссылкой на министра по делам Европы и управления собственностью Финляндии Тютти Туппурайнен сообщила, что правительство страны намеревается отказаться от поставок сжиженного природного газа (СПГ) из России, которые осуществляются через госкомпанию Gasum.20 мая Финляндия взяла в аренду у компании Excelerate Energy из США плавучий СПГ-терминал, чтобы сократить зависимость от российского газа. Судно должно быть введено в эксплуатацию следующей зимой и будет базироваться сначала в эстонском порту Палдиски, а затем в Хамине на юге Финляндии. Приемные сооружения для судна будут построены в Финляндии и в Эстонии. Арендованное судно вмещает 151 000 кубометров (примерно 68 000 т) СПГ. Они будут регазифицироваться на терминале и подаваться в газовую сеть. На газ в Финляндии приходится 5% потребляемой энергии.";"09/17/2022 14:14:24"
"https://www.vedomosti.ru/economics/articles/2022/09/20/941591-vlasti-prognoziruyut-perestroiku-ekonomiki";"Власти прогнозируют перестройку экономики в пользу внутреннего рынка к 2030 году";"Правительство ожидает сокращения доли экспортных отраслей в структуре ВВП России с 29,8% в 2021 г. до 22,6% в 2030 г., следует из материалов стратегической сессии по развитию экономики, которая прошла 30 августа в правительстве. Выпуск перераспределится в пользу обрабатывающих производств, ориентированных на внутренний рынок, – вклад этой сферы вырастет с 5,3 до 8%, – IT и науки (с 6,8 до 8,8%), строительства, ЖКХ и недвижимости (с 14,6 до 16,4%). Вдвое вырастет доля туризма, общественного питания и досуга – с 1,6 до 3,2%.Такое изменение структуры ВВП будет возможно при условии реализации сценария развития экономики «ускоренная адаптация», следует из материалов. Как ранее писали «Ведомости», согласно этому варианту, который для властей является основным, ВВП России к 2030 г. превысит уровень 2021 г. на 17%.Как поясняет источник, близкий к правительству, рост экономики будет обеспечен прежде всего за счет внутреннего спроса – инвестиционного и потребительского. Согласно материалам к стратегической сессии, в 2024 г. реальные денежные доходы населения покажут положительную динамику и увеличатся на 2,8% по отношению к 2021 г., в 2027 г. этот рост составит 11%, в 2030 г. – 20%.В абсолютном выражении из-за изменения объема ВВП выпуск отраслей будет меняться с другим по сравнению с увеличением или уменьшением их доли темпом. Например, вклад туризма и досуга – сектора услуг – возрастет вдвое, с 1,6 до 3,2%. Но в абсолютном выражении объем отрасли увеличится более существенно. В то же время, хотя доля экспортно-ориентированных отраслей снизится на 7 п. п. до 22,6%, т. е. почти на четверть, объем выпуска этого сектора может сократиться менее существенно или даже остаться неизменным.«Ведомости» отправили запрос представителям правительства и Минэкономразвития.Целевой рост экономики в 17% к 2030 г., на который власти рассчитывают в рамках сценария ускоренной адаптации, будет обеспечен преимущественно за счет внутреннего рынка при условии относительной стагнации внешнеэкономической деятельности, отмечает директор Института народнохозяйственного прогнозирования РАН Александр Широв. Несмотря на то что Россия продолжает успешно налаживать торговые связи с дружественными странами, объем этой торговли не сможет расти такими же темпами, которые наблюдались до начала 2022 г., указывает он. А при росте ВВП на 2–3% ежегодно доля в нем стагнирующего экспорта будет естественным образом снижаться – перевес перейдет в сторону внутренней экономики, поясняет эксперт.В таком случае будут требоваться структурная перестройка и, соответственно, усиленные вложения в науку, преимущественно в прикладные направления, связанные с внедрением разработок, инжинирингом, отмечает Широв, по этой же причине будет расти доля IT в российском ВВП. Таким образом, в рамках инициатив государства по обеспечению технологического суверенитета рост доли IТ и науки до 8,8% видится вполне возможным.Сокращение доли экспорта в ВВП, которое предсказывают власти, действительно вероятно, так как наряду с различными ограничениями на российский экспорт ожидается также сокращение цен на сырье, согласился главный аналитик УК «Ингосстрах-инвестиций» Виктор Тунев. Согласно базовому прогнозу ЦБ, опубликованному в середине августа, цена за баррель нефти марки Urals будет снижаться с $80 в 2022 г. до $70 в 2023 г., $60 в 2024 г. и наконец достигнет $55 в 2025 г. При этом, как следует из этого же прогноза, ВВП России после длительного снижения в 2022–2023 гг. покажет рост на уровне 1,5–2,5% в 2024–2035 гг. Этот рост будет обеспечен преимущественно за счет роста отраслей, ориентированных на внутренний спрос, уверен Тунев. Сейчас власти уделяют этому повышенное внимание и в целом наблюдается более радикальная смена парадигмы, к чему подталкивают в том числе внешние условия, добавил Широв. Если те решения и проекты, которые уже запущены или начинают стартовать, будут реализованы эффективно, возможно даже более быстрое замещение сырьевых отраслей в структуре выпуска на более технологичные, считает эксперт.Рост отраслей, ориентированных на внутренний рынок, связан с тем, что они оказываются практически неуязвимыми для внешних санкций, отметил главный экономист по России Bloomberg Economics Александр Исаков. Как правило, правительство ограждает их даже от воздействия вторичных макроэкономических шоков – так произошло со строительным сектором, который фактически был изолирован от общего роста процентных ставок, указывает эксперт. Также санкции привели к освобождению ниш во многих отраслях, напомнил Исаков. Уход конкурентов позволит в ближайшие годы повысить объемы и прибыльность, а в среднесрочной перспективе – более ощутимо нарастить занятость и размер этих секторов, уверен он.Рост доли IT и науки наиболее вероятен к 2030 г., так как на сегодня нехватка IT-специалистов в мире составляет 40 млн человек, а в 2030 г. потребность в них, по некоторым оценкам, может достигнуть 85 млн человек, отмечает эксперт «БКС мир инвестиций» Евгений Миронюк. Рост доли отрасли строительства, ЖКХ и недвижимости может быть обеспечен преимущественно за счет инфраструктурных проектов, уверен он. Дело в том, что нынешние демографические и рыночные тенденции пока не позволяют рассчитывать на рост сегмента за счет рынка жилой недвижимости, уточняет эксперт.Туризм, досуг и общепит будут показывать стабильную положительную динамику за счет роста благосостояния населения, на который также рассчитывают власти, считает Тунев. Кроме того, ограничения на зарубежный туризм во многом будут стимулом для поездок по России – в последнее время популярность внутреннего туризма растет, добавляет Тунев.Рост вклада туризма, общественного питания и организации досуга с 1,6 до 3,2% будет тесно связан с ростом доходов населения и внутренним спросом, согласен Миронюк, реализация этого прогноза вероятна при устойчивом темпе роста ВВП и благосостояния с 2025 г.Оценки сокращения экспортной отрасли в структуре ВВП выглядят реалистично, так как тенденции к сокращению уже накапливались в нефтяной и газовой отраслях, отмечает Исаков. Согласно действующей энергетической стратегии России, которая была принята в 2020 г., добыча и экспорт нефти и газа должны были оставаться примерно на одном уровне, напомнил эксперт. При предположительном росте остальной экономики порядка 3% в год, которого ожидают власти, это бы привело к снижению доли экспорта до 25% за восемь лет, но из-за санкций этот процесс произойдет быстрее, считает Исаков.";"09/19/2022 20:52:41"
