link,title,text,date
https://www.vedomosti.ru/economics/news/2022/09/09/940142-ne-menee-10-stran-es-potrebovali,Не менее 10 стран ЕС потребовали ограничить цены на весь импортный газ,минимум 10 страна евросоюз число италия польша греция потребовать ввести ограничение стоимость весь импортный газ который поставляться ес российский сообщить газета financial times ссылка неназванный европейский чиновник « брюссель сталкиваться давление сторона минимум 10 страна ес цель введение ограничение цена газ весь поставщик » — сказать сообщение это некоторый правительство опасаться одобрение предложить еврокомиссия план ограничение цена российский энергоресурсы мочь привести полный прекращение поставка европа накануне замминистра финансы сша уолли адейть сообщить страна g 7 сша канада великобритания япония германия италия франция ввести лимит цена нефть поставлять россия 5 декабрь отметить мера эффективный потребоваться убедить присоединиться план значительный часть страна покупать российский нефть число индия который традиционно сложиться тесный связь россия китайранее газета financial times писать аналогичный лимит цена российский нефтепродукт вступить сила 5 февраль 2023 г еврокомиссия предложить ввести ограничение отношение стоимость российский газ,09/09/2022 11:27:19
https://www.vedomosti.ru/economics/news/2022/09/15/940939-o-zaprose-prigranichnih-regionov-subsidii,РБК узнал о запросе приграничными регионами субсидий на внедрение «Безопасного города»,губернатор российский регион который граничить донецкий луганский народный республика также украина обратиться вицепремьер — глава минпромторг денис мантурово просьба выделить дополнительный средство федеральный бюджет внедрение аппаратнопрограммный комплекс « безопасный город » это сообщить рбк ссылка источникиуточняться губернатор курский брянский белгородский ростовский область подготовить направить письмо просьба это конец август — начало сентябрь информация издание глава крым севастополь воронежский область краснодарский край обратиться мантурово позжев частность губернатор белгородский область вячеслав гладков свой письмо указать возрасти угроза диверсионный атака объект гражданский инфраструктура условие участиться противоправный действие вблизи граница белгородский область фон специальный военный операция украина мнение гладков внедрение система « безопасный город » регион позволить обеспечить « соответствовать режим работа орган госвласть региональный муниципальный уровень » расчет правительство белгородский область ориентировочный стоимость установка апк регион составлять 175 млрд руб сказать письмо гладков попросить выделить сумма федеральный бюджетагубернатор курский область роман старовойт свой письмо сообщить регион потребоваться 15 млрд руб цель информация издание средство федеральный бюджет внедрение « безопасный город » восемь регион потребоваться выделить общий сложность около 137 млрд рубапк « безопасный город » собирать обрабатывать данные чрезвычайный ситуация поступать разный система мониторинг число камера видеонаблюдение сенсор газоанализатор др,09/15/2022 07:58:52
https://www.vedomosti.ru/economics/news/2022/09/15/941010-pravitelstvo-prosubsidiruet-morskie-perevozki-mezhdu,Правительство просубсидирует морские перевозки между Калининградом и другими регионами,правительство россия принять решение ввести механизм субсидирование морской перевозка калининград регион это сообщить премьерминистр михаил мишустин « цель текущий год выделяться свыше 134 млрд руб рассчитывать льготный тариф суммарно оба сторона конец декабрь перевезти около 900 000 т груз речь идти нефть нефтепродукт угол цемент торф строительный кирпич также автомобиль мебель важный максимально оперативно организовать работа распределение субсидия российский судоходный компания » — сообщить онранея президент россия владимир путин ход рабочий визит калининградский область 1 сентябрь пообещать сделать перевозка регион удобнее экономически целесообразнее,09/15/2022 12:42:51
https://www.vedomosti.ru/economics/articles/2022/09/21/941783-minfin-rekomendoval-byudzheti-bez-izlishestv,Минфин рекомендовал регионам формировать бюджеты на 2023 год «без излишеств»,минфин советовать регион раздувать бюджет следующий год осторожно подходить трата накопить подушка безопасность сообщить « ведомость » первый замминистра финансы леонид горнин большинство субъект значительный объем остаток средство счет – совокупность около 4 трлн руб напомнить « призывать регион формировать бюджет 2023 г какихлибо излишество накопить подушка безопасность безусловно пригодиться » – отметить горнин следующий год слово финансовый испытание субъект « нужный рачительно относиться подушка безопасность финансировать инвестрасход который реально давать экономический эффект значить новый налоговый поступление » – пояснить первый замминистранакопленная субъект подушка безопасность 2023 г значимый источник финансирование расход региональный бюджет уточнить представитель минфин запрос « ведомость »,09/20/2022 21:31:08
https://www.vedomosti.ru/economics/news/2022/09/21/941923-urozhai-zerna-140-mln-tonn,Урожай зерна в России в этом году может превысить 140 млн тонн,урожай зерновые россия мочь превысить 140 млн т итог год заявить президент владимир путин встреча руководитель передовой инженерный школа « министр сельский хозяйство дмитрий патрушев доложить год очень хороший урожай помоему сказать 130 млн тонна собрать 140 » – цитировать тассдостичь показатель удаться благодаря развитие сельскохозяйственный техника технология сказать путин поблагодарить результат аграриевпо опубликовать февраль данные росстат 2021 г урожай зерновой рф составить 1213 млн т минсельхоз рассчитывать выйти урожай зерно размер 127 млн т бункерный вес чистый — 123 млн т сообщать министр сельский хозяйство дмитрий патрушев минсельхоз сша usda прогнозировать прошлый год урожай зерновые размер 1265 млн т который 85 млн т пшеница 415 млн т фуражный зернав июль год патрушев отмечать минсельхоз сохранять прогноз урожай зерно уровень 130 млн т называть это « хороший результат история страна » август институт конъюнктура аграрный рынок икар спрогнозировать урожай 145 млн т 95 млн т который прийтись пшеницуподписывайтесь « ведомость » telegram курс главный новость экономика бизнес,09/21/2022 15:13:40
https://www.vedomosti.ru/economics/news/2022/09/22/942082-velikobritanii-snyali-zapret-na-dobichu-slantsevogo-gaza,В Великобритании сняли запрет на добычу сланцевого газа,фон энергетический кризис власть великобритания отменить мораторий добыча сланцевый газ это сообщать прессслужба министерство дело бизнес энергетика промышленный стратегия соединить королевствавый распространить сообщение отмечаться запрет сниматься 22 сентябрь кроме начало октябрь правительство намерен провести новый раунд распределение лицензия разработка месторождение нефть газ северный море ранее заявлять премьерминистр британия лиз трасса выдать 100 разрешение министерство рассчитывать принять мера помочь страна снизить зависимость импорт иностранный энергоноситель также повысить « энергетический безопасность » великобритания,09/22/2022 13:14:04
https://www.vedomosti.ru/economics/news/2022/09/22/942020-mosbirzha-mozhet-prodat-biznes-po-organizatsii-torgov,Мосбиржа может продать бизнес по организации торгов парой рубль — доллар,московский биржа мочь будущее рассмотреть возможность продажа бизнес организация валютный торг пара рубль — доллар рассказать глава набсовет биржа сергей швецов форум « банк россия – xxi век » слово швецов мосбиржа помимо коммерческий выполнять общегосударственный функция поэтому пара поддерживаться пока российский экономика потребность конверсия доллар рубль « часть российский экспорт импорт доллар затухающий тенденция наверное какойто момент какомто будущее исключать мосбиржа бизнес продать это явно близкий время торговоинвестиционный отношение россия внешний мир недолларовые доллар утратить свой функция исключать интересный регулятор биржа » – сказать глава набсовет биржипосол начало спецоперация россия украина западный страна ввести экономический санкция отношение страна который распространяться российский банк наличный валюта др качество мера поддержка экономика правительство переводить внешнеторговый расчет национальный валюта,09/22/2022 09:13:55
https://www.vedomosti.ru/economics/news/2022/09/29/943137-operator-otsenil-sroki-prekrascheniya-vihoda,Оператор оценил сроки прекращения выхода газа из «Северного потока»,утечка газ повредить подводный трубопровод « северный поток 1 » вероятно прекратиться понедельник писать агентство reuters ссылка оператор nord stream ag представитель компания заявить настоящий время невозможный дать какиелибо прогноз относительно будущий эксплуатация трубопровод пора пока оценить ущерб также отметить nord stream смочь провести оценка добраться район « выход газ газопровод северный поток 1 скорый весь завершиться понедельник пока получить какието результат оценка ущерб никакой прогноз делать оценка ущерб мочь провести место удаться приблизиться район данный момент это запретный зона » — сказать представитель прессслужбыв ночь понедельник 26 сентябрь газопровод « северный поток » упасть давление,09/29/2022 13:57:37
https://www.vedomosti.ru/economics/news/2022/09/29/943183-rossiya-belorussiya-podpisali-soglashenie-o-tranzite-belorusskih-gruzov-cherez-rf,Россия и Белоруссия подписали соглашение о транзите белорусских грузов через РФ,министр транспорт россия белоруссия виталий савельев алексей авраменко подписать москва межправительственный соглашение транзит белорусский груз территория рф это сообщать прессслужба министерство транспорт россииотмечаться поставка проходить морской порт земля слово савельев сторона планировать развивать перевозка разный груз число минеральный удобрение подчеркнуть соглашение « придать новый импульс национальный экономика » савельев также напомнить двусторонний встреча президент россия белоруссия владимир путин александр лукашенко который пройти неделя особый внимание уделить экономический сотрудничество страна,09/29/2022 19:25:38
https://www.vedomosti.ru/economics/news/2022/10/01/943420-aliev,Алиев заявил о намерении удвоить экспорт газа в Европу,азербайджан начать консультация повод расширение поставка газ европа южный газовый коридор югк заявить президент азербайджан ильхам алиев время выступление церемония открытие грекоболгарский газовый интерконнектор igb софииреспублик подписать европейский комиссия ек меморандум область энергетика передавать trend согласно документ 2027 г экспорт газ должный вырасти слово алиев южный газовый коридор « изменить энергетический карта европа » « южный газовый коридор транспортировать газ потребитель новый маршрут число новый источник сей пора единственный источник газовый месторождение « шахдениз » расположить азербайджанский сектор каспийский море » — сказать президент азербайджанав прошлый год баку экспортировать около 19 млрд куб м газ 82 который получить европейский страна поставка вырасти 40 отметить алиев,10/01/2022 13:24:32
